TIME,NODEUUID,BLEUUID,RSSI,PACKETID
1:23:15,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
1:23:15,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
1:23:19,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
1:23:19,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
1:23:21,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
1:23:25,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
1:23:27,123:231:213:90:88:10,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
1:23:29,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
1:23:29,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
1:23:29,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
1:23:48,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:10,0:0:0:0:0:0,0,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
1:23:56,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
1:23:57,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
1:23:57,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
1:23:58,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
