TIME,NODEUUID,BLEUUID,RSSI,PACKETID
20:47:2,123:231:213:90:88:12,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:47:5,123:231:213:90:88:12,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:47:5,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:5,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:5,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:5,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:6,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:7,123:231:213:90:88:12,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:47:7,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:7,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:8,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:8,123:231:213:90:88:12,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:47:8,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:8,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:9,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:9,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:9,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:9,123:231:213:90:88:12,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:47:9,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:10,123:231:213:90:88:12,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:47:10,123:231:213:90:88:12,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
20:47:11,123:231:213:90:88:12,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:47:11,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:11,123:231:213:90:88:12,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
20:47:11,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:12,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:12,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:12,123:231:213:90:88:12,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:47:12,123:231:213:90:88:12,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:47:12,123:231:213:90:88:12,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
20:47:13,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:13,123:231:213:90:88:12,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
20:47:13,123:231:213:90:88:12,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:47:13,123:231:213:90:88:12,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:47:14,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:47:14,123:231:213:90:88:12,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
20:47:14,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
