TIME,NODEUUID,BLEUUID,RSSI,PACKETID
21:30:7,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
21:30:8,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
21:30:37,123:231:213:90:88:11,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
21:30:41,123:231:213:90:88:11,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
21:30:41,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
21:30:42,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
21:30:42,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:30:42,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:30:43,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
21:30:43,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:30:43,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:30:43,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
21:30:43,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
21:30:44,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
21:30:44,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
21:30:44,123:231:213:90:88:11,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
21:30:44,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
21:30:44,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
21:30:45,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
21:30:45,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
21:30:45,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
21:30:45,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:30:46,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
21:30:46,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
21:31:6,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
21:31:7,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
21:31:7,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
21:31:7,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
21:31:7,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:31:7,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:31:8,123:231:213:90:88:11,240:191:0:64:48:9,20,5:2:12:4:5:6:42:88
21:31:8,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
21:31:8,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:31:8,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
