TIME,NODEUUID,BLEUUID,RSSI,PACKETID
21:57:26,123:231:213:90:88:12,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
21:57:51,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
21:57:51,123:231:213:90:88:12,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
21:59:15,123:231:213:90:88:12,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
21:59:50,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
21:59:50,123:231:213:90:88:12,234:210:11:40:111:36,91,5:2:12:4:5:6:42:88
22:0:16,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:0:16,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
22:1:7,123:231:213:90:88:12,234:210:11:40:111:36,92,5:2:12:4:5:6:42:88
22:1:7,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:1:16,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
22:1:16,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:1:54,123:231:213:90:88:12,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
22:1:54,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:2:2,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
22:2:4,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:2:11,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:2:11,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
22:1:7,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
21:57:51,123:231:213:90:88:12,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
22:1:16,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:1:54,123:231:213:90:88:12,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
22:1:54,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:2:2,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
22:2:4,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:2:11,123:231:213:90:88:12,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
