TIME,NODEUUID,BLEUUID,RSSI,PACKETID
12:26:4,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
12:26:19,123:231:213:90:88:12,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
12:27:0,123:231:213:90:88:12,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
12:27:44,123:231:213:90:88:12,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
12:28:32,123:231:213:90:88:12,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
12:29:23,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:30:12,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:31:1,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:31:51,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:32:36,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
12:33:21,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:34:11,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:35:1,123:231:213:90:88:12,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
12:37:5,123:231:213:90:88:12,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
12:37:5,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:37:26,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
12:38:14,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:38:59,123:231:213:90:88:12,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
12:39:48,123:231:213:90:88:12,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
12:40:35,123:231:213:90:88:12,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
12:41:29,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:42:15,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:43:0,123:231:213:90:88:12,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
12:43:47,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:44:36,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:45:37,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:46:14,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
12:47:3,123:231:213:90:88:12,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
12:48:0,123:231:213:90:88:12,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
12:48:37,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:49:28,123:231:213:90:88:12,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
12:50:17,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:51:2,123:231:213:90:88:12,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
12:51:49,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:52:38,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:53:31,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:54:17,123:231:213:90:88:12,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
12:55:6,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:55:53,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:56:41,123:231:213:90:88:12,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
12:57:30,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:58:18,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:59:5,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:59:55,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:4:52,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
13:4:52,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
13:5:30,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
13:7:37,123:231:213:90:88:12,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
13:7:37,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:7:57,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
13:8:42,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
13:9:42,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
13:10:36,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:11:9,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
