TIME,NODEUUID,BLEUUID,RSSI,PACKETID
14:47:38,123:231:213:90:88:10,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
14:48:26,123:231:213:90:88:10,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
14:49:17,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
14:50:11,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
14:50:50,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
14:51:40,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
14:52:29,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
14:53:18,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
14:54:3,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
14:54:52,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
14:55:49,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
14:56:28,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
14:57:17,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
14:58:4,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
14:58:53,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
14:59:43,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
15:0:32,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
15:1:16,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
15:2:57,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:3:47,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:4:35,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:5:24,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:6:11,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
15:7:0,123:231:213:90:88:10,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
15:7:49,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:8:37,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
15:9:22,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:10:10,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
15:11:0,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:11:49,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:12:37,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:13:27,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:14:11,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:15:1,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:15:49,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:16:39,123:231:213:90:88:10,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
15:17:28,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:18:14,123:231:213:90:88:10,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
15:19:1,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
15:19:50,123:231:213:90:88:10,234:210:11:40:111:36,92,5:2:12:4:5:6:42:88
15:20:39,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:21:25,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:22:14,123:231:213:90:88:10,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
15:23:3,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:23:53,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
15:24:41,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:25:27,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
15:26:17,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:27:2,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
15:27:51,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:28:39,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
15:29:28,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:30:17,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
15:31:5,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:31:55,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
15:32:40,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
15:33:29,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:34:23,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
15:35:7,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
15:35:56,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:36:44,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
15:37:29,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
15:38:21,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
15:39:5,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:40:1,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:40:46,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
15:41:31,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:42:19,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
15:43:9,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:43:58,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:44:43,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
15:45:33,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
15:46:20,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
15:47:8,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:48:0,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
15:48:44,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:49:33,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:50:20,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:51:8,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:51:57,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:52:46,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
15:53:35,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:54:21,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
15:55:12,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:56:2,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:56:46,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
15:57:38,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
15:58:22,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
15:59:11,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
16:0:0,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
16:0:48,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
16:1:38,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
16:2:26,123:231:213:90:88:10,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
16:3:14,123:231:213:90:88:10,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
16:4:1,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
16:4:50,123:231:213:90:88:10,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
16:5:39,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
16:6:27,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
16:7:13,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
16:8:1,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
16:8:54,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
16:9:38,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
16:10:27,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
16:11:17,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
16:12:6,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
16:12:55,123:231:213:90:88:10,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
16:13:39,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
16:14:29,123:231:213:90:88:10,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
16:15:18,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
16:16:6,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
16:16:54,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
16:17:42,123:231:213:90:88:10,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
16:18:27,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
16:19:16,123:231:213:90:88:10,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
16:20:5,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
16:21:0,123:231:213:90:88:10,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
