TIME,NODEUUID,BLEUUID,RSSI,PACKETID
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,66,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,66,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,68,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,69,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,69,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,71,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,75,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,73,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,73,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,73,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:10,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:10,125:182:238:69:148:123,72,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:10,125:182:238:69:148:123,71,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:10,125:182:238:69:148:123,76,5:2:12:4:5:6:42:88
22:7:41,123:231:213:90:88:10,125:182:238:69:148:123,75,5:2:12:4:5:6:42:88
22:7:41,123:231:213:90:88:10,125:182:238:69:148:123,88,5:2:12:4:5:6:42:88
22:7:41,123:231:213:90:88:10,125:182:238:69:148:123,69,5:2:12:4:5:6:42:88
22:7:42,123:231:213:90:88:10,125:182:238:69:148:123,73,5:2:12:4:5:6:42:88
22:7:42,123:231:213:90:88:10,125:182:238:69:148:123,74,5:2:12:4:5:6:42:88
22:7:42,123:231:213:90:88:10,125:182:238:69:148:123,86,5:2:12:4:5:6:42:88
22:7:42,123:231:213:90:88:10,125:182:238:69:148:123,86,5:2:12:4:5:6:42:88
22:7:42,123:231:213:90:88:10,125:182:238:69:148:123,69,5:2:12:4:5:6:42:88
22:17:45,123:231:213:90:88:10,125:182:238:69:148:123,74,5:2:12:4:5:6:42:88
22:17:45,123:231:213:90:88:10,125:182:238:69:148:123,73,5:2:12:4:5:6:42:88
22:18:11,123:231:213:90:88:10,125:182:238:69:148:123,71,5:2:12:4:5:6:42:88
22:18:11,123:231:213:90:88:10,125:182:238:69:148:123,71,5:2:12:4:5:6:42:88
22:18:28,123:231:213:90:88:10,125:182:238:69:148:123,71,5:2:12:4:5:6:42:88
22:18:28,123:231:213:90:88:10,125:182:238:69:148:123,80,5:2:12:4:5:6:42:88
22:19:6,123:231:213:90:88:10,125:182:238:69:148:123,80,5:2:12:4:5:6:42:88
22:19:6,123:231:213:90:88:10,125:182:238:69:148:123,81,5:2:12:4:5:6:42:88
22:19:32,123:231:213:90:88:10,125:182:238:69:148:123,75,5:2:12:4:5:6:42:88
22:19:32,123:231:213:90:88:10,125:182:238:69:148:123,74,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:10,125:182:238:69:148:123,82,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:10,125:182:238:69:148:123,71,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:10,125:182:238:69:148:123,79,5:2:12:4:5:6:42:88

22:21:10,123:231:213:90:88:10,125:182:238:69:148:123,82,5:2:12:4:5:6:42:88
