TIME,NODEUUID,BLEUUID,RSSI,PACKETID
1:23:15,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:15,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:15,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:15,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:15,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:15,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:16,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:16,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
1:23:16,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:12,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:12,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:17,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:18,123:231:213:90:88:12,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:23:19,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
1:23:19,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:19,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:19,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:19,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
1:23:25,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:25,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:27,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:29,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:29,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:29,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:48,123:231:213:90:88:12,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:12,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:23:55,123:231:213:90:88:12,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:23:56,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
1:23:56,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
1:23:57,123:231:213:90:88:12,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:23:57,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
1:23:57,123:231:213:90:88:12,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
