TIME,NODEUUID,BLEUUID,RSSI,PACKETID
1:51:8,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:51:8,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
1:51:8,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
1:51:9,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:51:9,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:51:9,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
1:51:9,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:51:11,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
1:51:11,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:51:11,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
1:51:11,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:51:11,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:51:12,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
1:51:12,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:51:12,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
1:51:18,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:51:19,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
1:51:20,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:51:20,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
1:51:20,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
1:51:21,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
1:51:21,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
1:51:48,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
1:51:48,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:51:48,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:51:49,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
1:51:49,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
1:51:49,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
1:51:49,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
1:51:50,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
