TIME,NODEUUID,BLEUUID,RSSI,PACKETID
2:4:27,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:4:28,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
2:4:28,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
2:4:28,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
2:4:28,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
2:4:29,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
2:4:29,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
2:4:30,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
2:4:30,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
2:4:31,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
2:4:31,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:4:31,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
2:4:31,123:231:213:90:88:11,234:210:11:40:3:0,82,5:2:12:4:5:6:42:88
2:4:32,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
2:4:32,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
2:4:32,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:4:32,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
2:4:39,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:4:39,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
2:4:40,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
2:4:40,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:4:40,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
2:4:40,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
2:4:40,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
2:4:41,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
2:4:41,123:231:213:90:88:11,234:210:11:40:111:36,66,5:2:12:4:5:6:42:88
2:4:41,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
2:4:41,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
2:4:42,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
2:4:42,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
2:4:58,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
2:4:58,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
2:4:58,123:231:213:90:88:11,234:210:11:40:111:36,66,5:2:12:4:5:6:42:88
2:4:58,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
2:4:59,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
2:5:0,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:5:0,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
2:5:0,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
2:5:0,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
2:5:0,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
2:5:1,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
2:5:1,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
2:5:1,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
2:5:1,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
2:5:1,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
2:5:2,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
2:5:2,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
2:5:2,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
2:5:2,123:231:213:90:88:11,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
2:5:8,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
2:5:8,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:5:8,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
2:5:8,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
2:5:8,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:5:9,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
2:5:9,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
2:5:9,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:5:9,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
2:5:9,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
2:5:10,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
2:5:10,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
2:5:10,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
2:5:10,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
2:5:11,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
