TIME,NODEUUID,BLEUUID,RSSI,PACKETID
12:26:1,123:231:213:90:88:11,234:210:11:40:111:36,62,5:2:12:4:5:6:42:88
12:26:50,123:231:213:90:88:11,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
12:27:39,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:28:33,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
12:29:11,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:30:2,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
12:30:51,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:31:41,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
12:32:27,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
12:33:15,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
12:34:3,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
12:34:50,123:231:213:90:88:11,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
12:37:13,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:37:13,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
12:37:16,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
12:38:4,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
12:38:54,123:231:213:90:88:11,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
12:39:43,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
12:40:31,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:41:16,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
12:42:6,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:42:54,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
12:43:42,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
12:44:31,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
12:45:16,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
12:46:4,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
12:46:53,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
12:47:44,123:231:213:90:88:11,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
