TIME,NODEUUID,BLEUUID,RSSI,PACKETID
16:1:4,123:231:213:90:88:12,54:146:176:171:98:36,82,5:2:12:4:5:6:42:88
16:1:9,123:231:213:90:88:12,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
16:1:14,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:1:19,123:231:213:90:88:12,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
16:1:24,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:1:29,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:1:34,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:1:39,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:1:44,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:1:49,123:231:213:90:88:12,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
16:1:59,123:231:213:90:88:12,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
16:2:3,123:231:213:90:88:12,54:146:176:171:98:36,79,5:2:12:4:5:6:42:88
16:2:4,123:231:213:90:88:12,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
16:2:8,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:2:13,123:231:213:90:88:12,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
16:2:18,123:231:213:90:88:12,54:146:176:171:98:36,80,5:2:12:4:5:6:42:88
16:2:22,123:231:213:90:88:12,54:146:176:171:98:36,79,5:2:12:4:5:6:42:88
16:2:26,123:231:213:90:88:12,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
16:2:28,123:231:213:90:88:12,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
16:2:31,123:231:213:90:88:12,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
16:2:32,123:231:213:90:88:12,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
16:2:33,123:231:213:90:88:12,54:146:176:171:98:36,78,5:2:12:4:5:6:42:88
16:2:37,123:231:213:90:88:12,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
16:2:38,123:231:213:90:88:12,54:146:176:171:98:36,81,5:2:12:4:5:6:42:88
16:2:42,123:231:213:90:88:12,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
16:2:43,123:231:213:90:88:12,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
16:2:47,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:2:51,123:231:213:90:88:12,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
16:2:52,123:231:213:90:88:12,54:146:176:171:98:36,80,5:2:12:4:5:6:42:88
16:2:56,123:231:213:90:88:12,54:146:176:171:98:36,80,5:2:12:4:5:6:42:88
16:2:57,123:231:213:90:88:12,54:146:176:171:98:36,80,5:2:12:4:5:6:42:88
16:3:1,123:231:213:90:88:12,54:146:176:171:98:36,79,5:2:12:4:5:6:42:88
16:3:2,123:231:213:90:88:12,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
16:3:7,123:231:213:90:88:12,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
