TIME,NODEUUID,BLEUUID,RSSI,PACKETID
14:47:32,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
14:48:17,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
14:49:7,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
14:49:56,123:231:213:90:88:11,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
14:50:50,123:231:213:90:88:11,234:210:11:40:111:36,70,5:2:12:4:5:6:42:88
14:51:30,123:231:213:90:88:11,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
14:52:19,123:231:213:90:88:11,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
14:53:8,123:231:213:90:88:11,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
14:53:57,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
14:54:46,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
14:55:34,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
14:56:19,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
14:57:8,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
14:57:56,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
14:58:44,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
14:59:33,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
15:0:21,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:1:11,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:1:58,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:2:45,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:3:37,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:4:21,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:5:14,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
15:5:58,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:6:46,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:7:34,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:8:23,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:9:12,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:9:59,123:231:213:90:88:11,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
15:10:50,123:231:213:90:88:11,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
15:11:39,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:12:28,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:13:12,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:14:1,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:14:51,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:15:39,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:16:30,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:17:13,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:18:5,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:18:49,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:19:40,123:231:213:90:88:11,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
15:20:28,123:231:213:90:88:11,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
15:21:20,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:22:3,123:231:213:90:88:11,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
15:22:54,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:23:43,123:231:213:90:88:11,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
15:24:32,123:231:213:90:88:11,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
15:25:17,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:26:7,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:26:51,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:27:41,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
15:28:29,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
15:29:17,123:231:213:90:88:11,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
15:30:7,123:231:213:90:88:11,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
15:30:55,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:31:46,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:32:30,123:231:213:90:88:11,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
15:33:19,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
15:34:14,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
15:34:53,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:35:46,123:231:213:90:88:11,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
15:36:30,123:231:213:90:88:11,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
15:37:17,123:231:213:90:88:11,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
