TIME,NODEUUID,BLEUUID,RSSI,PACKETID
20:33:12,123:231:213:90:88:11,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
20:33:12,123:231:213:90:88:11,54:146:176:171:98:36,83,5:2:12:4:5:6:42:88
20:33:12,123:231:213:90:88:11,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:33:12,123:231:213:90:88:11,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:33:13,123:231:213:90:88:11,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
20:33:13,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:33:13,123:231:213:90:88:11,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
20:33:13,123:231:213:90:88:11,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:33:24,123:231:213:90:88:11,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
20:33:28,123:231:213:90:88:11,54:146:176:171:98:36,78,5:2:12:4:5:6:42:88
20:33:29,123:231:213:90:88:11,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
20:33:29,123:231:213:90:88:11,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
20:33:29,123:231:213:90:88:11,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:33:31,123:231:213:90:88:11,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:33:31,123:231:213:90:88:11,54:146:176:171:98:36,79,5:2:12:4:5:6:42:88
20:33:31,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:33:31,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:33:31,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:33:31,123:231:213:90:88:11,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:33:32,123:231:213:90:88:11,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:33:32,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:33:33,123:231:213:90:88:11,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:33:33,123:231:213:90:88:11,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:33:33,123:231:213:90:88:11,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:33:33,123:231:213:90:88:11,54:146:176:171:98:36,78,5:2:12:4:5:6:42:88
20:33:34,123:231:213:90:88:11,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:33:34,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:33:34,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:33:34,123:231:213:90:88:11,54:146:176:171:98:36,77,5:2:12:4:5:6:42:88
20:33:35,123:231:213:90:88:11,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:33:35,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:33:35,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:33:35,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:33:36,123:231:213:90:88:11,54:146:176:171:98:36,78,5:2:12:4:5:6:42:88
20:33:36,123:231:213:90:88:11,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
