TIME,NODEUUID,BLEUUID,RSSI,PACKETID
20:59:10,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:59:10,123:231:213:90:88:11,54:146:176:171:98:36,82,5:2:12:4:5:6:42:88
20:59:10,123:231:213:90:88:11,54:146:176:171:98:36,88,5:2:12:4:5:6:42:88
20:59:10,123:231:213:90:88:11,54:146:176:171:98:36,85,5:2:12:4:5:6:42:88
20:59:10,123:231:213:90:88:11,54:146:176:171:98:36,85,5:2:12:4:5:6:42:88
20:59:11,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:59:11,123:231:213:90:88:11,54:146:176:171:98:36,70,5:2:12:4:5:6:42:88
20:59:11,123:231:213:90:88:11,54:146:176:171:98:36,80,5:2:12:4:5:6:42:88
20:59:11,123:231:213:90:88:11,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:59:11,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:59:12,123:231:213:90:88:11,54:146:176:171:98:36,70,5:2:12:4:5:6:42:88
20:59:12,123:231:213:90:88:11,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
20:59:13,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:59:13,123:231:213:90:88:11,54:146:176:171:98:36,70,5:2:12:4:5:6:42:88
20:59:13,123:231:213:90:88:11,54:146:176:171:98:36,69,5:2:12:4:5:6:42:88
20:59:13,123:231:213:90:88:11,54:146:176:171:98:36,68,5:2:12:4:5:6:42:88
20:59:14,123:231:213:90:88:11,54:146:176:171:98:36,69,5:2:12:4:5:6:42:88
20:59:14,123:231:213:90:88:11,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:59:14,123:231:213:90:88:11,54:146:176:171:98:36,69,5:2:12:4:5:6:42:88
20:59:15,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:59:15,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:59:15,123:231:213:90:88:11,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
20:59:15,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:59:16,123:231:213:90:88:11,54:146:176:171:98:36,69,5:2:12:4:5:6:42:88
20:59:16,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:59:17,123:231:213:90:88:11,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
20:59:17,123:231:213:90:88:11,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
20:59:18,123:231:213:90:88:11,54:146:176:171:98:36,78,5:2:12:4:5:6:42:88
20:59:18,123:231:213:90:88:11,54:146:176:171:98:36,86,5:2:12:4:5:6:42:88
20:59:18,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:59:19,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:59:19,123:231:213:90:88:11,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
20:59:19,123:231:213:90:88:11,54:146:176:171:98:36,81,5:2:12:4:5:6:42:88
20:59:19,123:231:213:90:88:11,54:146:176:171:98:36,81,5:2:12:4:5:6:42:88
20:59:19,123:231:213:90:88:11,54:146:176:171:98:36,83,5:2:12:4:5:6:42:88
20:59:20,123:231:213:90:88:11,54:146:176:171:98:36,70,5:2:12:4:5:6:42:88
20:59:20,123:231:213:90:88:11,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
20:59:20,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:59:20,123:231:213:90:88:11,54:146:176:171:98:36,85,5:2:12:4:5:6:42:88
20:59:20,123:231:213:90:88:11,54:146:176:171:98:36,82,5:2:12:4:5:6:42:88
20:59:21,123:231:213:90:88:11,54:146:176:171:98:36,68,5:2:12:4:5:6:42:88
20:59:21,123:231:213:90:88:11,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
20:59:21,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:59:21,123:231:213:90:88:11,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
20:59:21,123:231:213:90:88:11,54:146:176:171:98:36,84,5:2:12:4:5:6:42:88
20:59:22,123:231:213:90:88:11,54:146:176:171:98:36,69,5:2:12:4:5:6:42:88
