TIME,NODEUUID,BLEUUID,RSSI,PACKETID
21:4:26,123:231:213:90:88:10,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
21:4:26,123:231:213:90:88:10,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
21:4:26,123:231:213:90:88:10,54:146:176:171:98:36,81,5:2:12:4:5:6:42:88
21:4:27,123:231:213:90:88:10,54:146:176:171:98:36,82,5:2:12:4:5:6:42:88
21:4:27,123:231:213:90:88:10,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
21:4:27,123:231:213:90:88:10,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
21:4:28,123:231:213:90:88:10,54:146:176:171:98:36,79,5:2:12:4:5:6:42:88
21:4:28,123:231:213:90:88:10,54:146:176:171:98:36,82,5:2:12:4:5:6:42:88
21:4:28,123:231:213:90:88:10,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
21:4:28,123:231:213:90:88:10,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
21:4:29,123:231:213:90:88:10,54:146:176:171:98:36,85,5:2:12:4:5:6:42:88
21:4:29,123:231:213:90:88:10,54:146:176:171:98:36,80,5:2:12:4:5:6:42:88
21:4:29,123:231:213:90:88:10,54:146:176:171:98:36,80,5:2:12:4:5:6:42:88
21:4:29,123:231:213:90:88:10,54:146:176:171:98:36,78,5:2:12:4:5:6:42:88
21:4:29,123:231:213:90:88:10,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
21:4:30,123:231:213:90:88:10,54:146:176:171:98:36,73,5:2:12:4:5:6:42:88
21:4:30,123:231:213:90:88:10,54:146:176:171:98:36,81,5:2:12:4:5:6:42:88
21:4:30,123:231:213:90:88:10,54:146:176:171:98:36,81,5:2:12:4:5:6:42:88
21:4:30,123:231:213:90:88:10,54:146:176:171:98:36,72,5:2:12:4:5:6:42:88
21:4:31,123:231:213:90:88:10,54:146:176:171:98:36,71,5:2:12:4:5:6:42:88
21:4:31,123:231:213:90:88:10,54:146:176:171:98:36,74,5:2:12:4:5:6:42:88
21:4:31,123:231:213:90:88:10,160:54:254:63:56:55,176,5:2:12:4:5:6:42:88
21:4:31,123:231:213:90:88:10,54:146:176:171:98:36,79,5:2:12:4:5:6:42:88
21:4:31,123:231:213:90:88:10,54:146:176:171:98:36,81,5:2:12:4:5:6:42:88
21:4:32,123:231:213:90:88:10,54:146:176:171:98:36,76,5:2:12:4:5:6:42:88
21:4:32,123:231:213:90:88:10,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
21:4:32,123:231:213:90:88:10,54:146:176:171:98:36,75,5:2:12:4:5:6:42:88
21:4:32,123:231:213:90:88:10,54:146:176:171:98:36,80,5:2:12:4:5:6:42:88
